Texto,Intencao
"Pode me ajudar?",chat
"Oi, tudo certo por aí?",chat
"Beleza?",chat
"Tá tudo bem?",chat
"Como foi seu dia?",chat
"Tenha um bom dia!",chat
"Boa noite pra você",chat
"Até logo",chat
"Tchau",chat
"Até mais",chat
"Falamos depoiss",chat
"Foi bom conversar com você",chat
"Até a próxima",chat
"Quais tipos de roteiros você pode criar?",meta
"Que informações sobre eventos culturais você consegue fornecer?",meta
"Posso pedir a previsão do tempo de qualquer cidade?",meta
"Você consegue sugerir restaurantes, museus e pontos turísticos?",meta
"É possível obter rotas de transporte entre cidades?",meta
"Pode ajudar a planejar viagens curtas ou longas?",meta
"Você mostra trilhas ou rotas turísticas específicas?",meta
"O que você pode fazer?",meta
"Que tipo de informações você fornece?",meta
"Você consegue montar roteiros de viagem?",meta
"Pode me mostrar eventos culturais?",meta
"Você sabe a previsão do tempo de cidades?",meta
"Consegue indicar restaurantes ou pontos turísticos?",meta
"Pode planejar rotas de transporte?",meta
"Você tem informações sobre trilhas e rotas turísticas?",meta
"Como você pode me ajudar a planejar uma viagem?",meta
"Pode resumir o que é possível fazer aqui?",meta
"Mostre tudo o que o sistema consegue responder",meta
"Quais são suas principais funcionalidades?",meta
"Você entende perguntas sobre clima, eventos e transporte?",meta
"O que posso visitar no Porto?",pois
"Quais são os pontos turísticos de Lisboa?",pois
"Me fale sobre os museus em Madrid",pois
"Quais praias são imperdíveis no Algarve?",pois
"Quais são os melhores restaurantes em Barcelona?",pois
"Quais parques visitar em Valência?",pois
"Quais são os locais históricos em Évora?",pois
"Quais trilhas para caminhadas existem em Sintra?",rotas
"Quais castelos visitar no norte de Portugal?",pois
"Quais vinícolas posso conhecer em Vila Real?",pois
"Quais são as melhores trilhas para bicicleta na Arrábida?",rotas
"Quais são as atrações culturais em Lisboa?",pois
"Quais são os eventos desportivos em Barcelona?",eventos
"Quais festivais gastronômicos estão acontecendo em Madrid?",eventos
"Quais exposições de arte estão em exibição no Porto?",eventos
"Quais são os eventos de música ao vivo em Lisboa?",eventos
"Quais peças de teatro estão em cartaz em Sevilha?",eventos
"Quais são os eventos tradicionais em Coimbra?",eventos
"Quais são os eventos de dança em Valência?",eventos
"Quais são os eventos literários em Évora?",eventos
"Onde posso encontrar informações sobre eventos culturais?",meta
"Como saber sobre eventos musicais na cidade?",meta
"Como descobrir eventos de teatro locais?",meta
"Como encontrar festivais gastronômicos?",meta
"Como obter detalhes sobre exposições de arte?",meta
"Como me informar sobre eventos desportivos?",meta
"Como ficar sabendo dos eventos tradicionais?",meta
"Locais para visitar em Bragança",pois
"Fala-me um pouco sobre ti",meta
"Vou para bragança no proximo fim de semana, o que me aconselhas fazer?"roteiro"
